              open   close    high     low         value   quantity                 end
begin                                                                                  
2023-03-10  171.55  172.53  173.00  170.58  8.636905e+09   50256970 2023-03-10 23:59:59
2023-03-13  172.50  172.15  173.90  169.26  1.270953e+10   74032280 2023-03-13 23:59:59
2023-03-14  171.61  175.71  176.95  171.01  1.560132e+10   89325670 2023-03-14 23:59:59
2023-03-15  176.00  175.30  177.37  173.59  1.401036e+10   79930290 2023-03-15 23:59:59
2023-03-16  174.94  175.45  176.04  173.36  8.999771e+09   51534160 2023-03-16 23:59:59
2023-03-17  183.00  193.59  193.66  178.56  7.248764e+10  388164850 2023-03-17 23:59:59
2023-03-20  196.02  203.73  205.09  195.00  3.130986e+10  156714250 2023-03-20 23:59:59
2023-03-21  204.76  203.32  208.00  201.25  2.511254e+10  122583960 2023-03-21 23:59:59
2023-03-22  203.40  202.89  204.40  201.59  1.167933e+10   57568140 2023-03-22 23:59:59
2023-03-23  202.53  202.58  204.20  202.22  5.415400e+09   26650230 2023-03-23 23:59:59
2023-03-24  202.86  203.57  203.85  202.00  4.939231e+09   24325540 2023-03-24 23:59:59
2023-03-27  204.01  211.84  213.20  204.01  2.119126e+10  101521380 2023-03-27 23:59:59
2023-03-28  212.86  214.03  214.70  210.67  1.572650e+10   73901050 2023-03-28 23:59:59
2023-03-29  214.85  217.99  219.53  213.60  2.098017e+10   96682530 2023-03-29 23:59:59
2023-03-30  217.30  216.87  218.45  216.12  8.884287e+09   40886950 2023-03-30 23:59:59
2023-03-31  217.20  216.60  217.35  211.30  1.887899e+10   88081360 2023-03-31 23:59:59
2023-04-03  218.45  216.09  219.44  214.80  1.195182e+10   55175630 2023-04-03 23:59:59
2023-04-04  216.20  214.83  217.29  213.80  9.882799e+09   45803380 2023-04-04 23:59:59
2023-04-05  214.65  216.15  216.30  211.40  9.891664e+09   46177490 2023-04-05 23:59:59
2023-04-06  216.30  214.25  217.38  214.07  8.425127e+09   39061450 2023-04-06 23:59:59
2023-04-07  214.50  216.27  216.39  213.65  6.286418e+09   29198130 2023-04-07 23:59:59
2023-04-10  217.10  222.21  222.26  216.61  1.873787e+10   85196000 2023-04-10 23:59:59
2023-04-11  222.90  218.60  223.33  217.62  2.174376e+10   98538370 2023-04-11 23:59:59
2023-04-12  218.60  219.22  219.70  216.67  9.773617e+09   44767540 2023-04-12 23:59:59
2023-04-13  219.49  219.85  220.89  218.00  7.159180e+09   32672160 2023-04-13 23:59:59
2023-04-14  220.00  221.87  222.50  218.51  9.554307e+09   43316040 2023-04-14 23:59:59
2023-04-17  222.98  228.10  228.20  222.91  1.775664e+10   78797270 2023-04-17 23:59:59
2023-04-18  227.89  232.66  232.76  227.05  2.245490e+10   97770120 2023-04-18 23:59:59
2023-04-19  232.67  232.95  237.37  231.10  2.709777e+10  115713300 2023-04-19 23:59:59
2023-04-20  233.32  236.28  236.47  229.84  1.987970e+10   85093750 2023-04-20 23:59:59
2023-04-21  237.40  235.17  238.85  233.52  2.737073e+10  115905760 2023-04-21 23:59:59
2023-04-24  235.07  235.10  236.40  234.10  7.185358e+09   30536770 2023-04-24 23:59:59
2023-04-25  235.13  235.30  235.82  234.21  7.565048e+09   32187450 2023-04-25 23:59:59
2023-04-26  235.60  235.21  235.95  234.91  5.751047e+09   24430320 2023-04-26 23:59:59
2023-04-27  235.59  240.38  240.74  235.13  1.630761e+10   68311610 2023-04-27 23:59:59
2023-04-28  240.90  240.38  241.58  237.66  1.189236e+10   49583350 2023-04-28 23:59:59
2023-05-02  242.20  242.62  245.00  237.40  2.036415e+10   83957810 2023-05-02 23:59:59
2023-05-03  242.85  235.77  242.99  234.00  1.837232e+10   76827180 2023-05-03 23:59:59
2023-05-04  236.89  238.89  239.74  236.05  1.263752e+10   53079590 2023-05-04 23:59:59
2023-05-05  239.24  237.70  240.66  237.30  1.468390e+10   61366140 2023-05-05 23:59:59
2023-05-08  238.69  238.27  239.86  237.36  1.142061e+10   47865890 2023-05-08 23:59:59
2023-05-10  216.50  227.06  227.50  215.70  3.475193e+10  156874740 2023-05-10 23:59:59
2023-05-11  228.87  229.32  235.38  223.94  4.553260e+10  197302410 2023-05-11 23:59:59
2023-05-12  231.00  229.29  232.47  226.15  1.614028e+10   70528170 2023-05-12 23:59:59
2023-05-15  230.51  231.70  231.75  228.52  1.129522e+10   49090190 2023-05-15 23:59:59
2023-05-16  232.40  230.62  232.86  229.57  8.446679e+09   36613690 2023-05-16 23:59:59
2023-05-17  229.86  230.55  230.97  228.75  7.300923e+09   31770380 2023-05-17 23:59:59
2023-05-18  231.70  231.70  234.49  230.72  1.306333e+10   56228190 2023-05-18 23:59:59
2023-05-19  230.99  231.27  232.30  229.81  7.309847e+09   31639980 2023-05-19 23:59:59
2023-05-22  232.20  231.00  232.78  230.00  6.122461e+09   26487190 2023-05-22 23:59:59
2023-05-23  231.25  236.43  237.29  230.21  1.473089e+10   63010540 2023-05-23 23:59:59
2023-05-24  237.49  246.06  246.13  236.26  2.071454e+10   86011970 2023-05-24 23:59:59
2023-05-25  246.10  243.76  247.40  242.65  1.734260e+10   70882360 2023-05-25 23:59:59
2023-05-26  243.45  248.10  249.64  242.81  1.706429e+10   69202730 2023-05-26 23:59:59
2023-05-29  249.78  251.18  252.59  248.85  1.701772e+10   67999610 2023-05-29 23:59:59
2023-05-30  248.84  244.65  250.85  243.80  2.068190e+10   83533260 2023-05-30 23:59:59
2023-05-31  244.00  246.17  247.18  240.27  1.779406e+10   72912500 2023-05-31 23:59:59
2023-06-01  247.00  241.66  247.00  240.57  1.267051e+10   52046910 2023-06-01 23:59:59
2023-06-02  242.00  243.95  245.50  240.77  1.133123e+10   46542940 2023-06-02 23:59:59
2023-06-05  243.51  237.12  244.15  235.10  1.889713e+10   78742190 2023-06-05 23:59:59
2023-06-06  235.92  240.91  242.10  232.54  2.381666e+10  100640180 2023-06-06 23:59:59
2023-06-07  241.20  241.25  244.39  238.56  1.526868e+10   63130930 2023-06-07 23:59:59
2023-06-08  241.30  241.77  242.78  239.55  7.222972e+09   29945470 2023-06-08 23:59:59
2023-06-09  242.80  240.40  243.00  240.11  6.659895e+09   27569100 2023-06-09 23:59:59
2023-06-13  241.51  244.33  244.50  240.63  9.863948e+09   40551890 2023-06-13 23:59:59
